data;dia_semana;horario;formato;funil;tipo_conteudo_id;tipo_conteudo;avatar_id;avatar;tema;cta;keyword_manychat;hashtags
2026-03-20;Sexta;07:00;REEL;MEIO;4;Perguntas de Seguidores;viajante;Viajante;Seguidor pergunta: como falar 'namorar' em espanhol?;Manda sua duvida nos comentarios | Comenta ERROS;ERROS;#espanholparabrasileiros #aprendaespanhol #espanholreal #espanholparaviagem #viajarsozinho #espanholbasico #aleresponde #duvida #perguntadeseguidor
2026-03-20;Sexta;09:30;CARROSSEL;MEIO;7;Dor e Identificacao;vai_morar_fora;Vai Morar Fora;Voce vai se mudar e tem medo de nao se adaptar?;Comenta SIM se voce se identifica | Comenta TRAVA;TRAVA;#aprenderespanhol #espanholreal #aprendaespanhol #brasileironoexterior #vidanoexterior #brasileirosnaargentina #identificacao #voceseidentifica #travanoespanhol
2026-03-20;Sexta;12:00;REEL;FUNDO;10;Prova Social;academico;Academico;Aluna passou no DELE B2 com 3 meses de Imersao Nativa;Comenta QUERO se voce quer o mesmo resultado | Comenta AULA;AULA;#aprendaespanhol #espanholcomvoce #espanhol #celu #dele #siele #alunoreal #resultado #depoimento
2026-03-20;Sexta;15:00;CARROSSEL;MEIO;4;Perguntas de Seguidores;profissional;Profissional;Seguidor pergunta: como comecar email formal em espanhol?;Manda sua duvida nos comentarios | Comenta ERROS;ERROS;#aprendaespanhol #espanholreal #espanholparabrasileiros #espanholprofissional #negociosinternacionais #espanholcorporativo #perguntadeseguidor #aleresponde #duvida
2026-03-20;Sexta;18:30;REEL;FUNDO;6;Metodo e Bastidor;viajante;Viajante;Por que voce trava ao falar espanhol — a explicacao cientifica;Comenta METODO para saber mais | Comenta METODO;METODO;#espanholcomvoce #aprenderespanhol #aprendaespanhol #viagemparaaamericadosul #espanholparaviagem #espanholnoexterior #imersaonativa #comoaprender #metodo
2026-03-20;Sexta;20:00;CARROSSEL;TOPO;2;Palavras do Cotidiano;vai_morar_fora;Vai Morar Fora;Como falar 'aluguel' em espanhol;Comenta qual palavra voce queria saber | Comenta VIAGEM;VIAGEM;#espanholreal #espanholcomvoce #aprenderespanhol #imigracao #vidanoexterior #brasileironoexterior #palavradodia #vocabulario #espanholdodia
2026-03-21;Sabado;07:00;REEL;MEIO;4;Perguntas de Seguidores;academico;Academico;Seguidor pergunta: SER vs ESTAR — regra definitiva?;Manda sua duvida nos comentarios | Comenta ERROS;ERROS;#espanholonline #aprenderespanhol #aprendaespanhol #celu #espanholparaenem #espanholparaconcurso #perguntadeseguidor #duvida #aleresponde
2026-03-21;Sabado;09:30;CARROSSEL;FUNDO;6;Metodo e Bastidor;profissional;Profissional;Por que metodo generico nao resolve espanhol corporativo;Comenta METODO para saber mais | Comenta METODO;METODO;#espanholparabrasileiros #espanholonline #espanhol #negociosinternacionais #espanholcorporativo #carreirainternacional #metodo #imersaonativa #comoaprender
2026-03-21;Sabado;12:00;REEL;TOPO;5;Cultura e Diferencas;viajante;Viajante;Argentina vs Espanha: como cada um fala 'voce';Comenta seu pais favorito | Comenta VIAGEM;VIAGEM;#espanholonline #espanholcomvoce #espanholreal #espanholbasico #espanholnoexterior #mochilao #diferencas #culturaespanhola #curiosidades
2026-03-21;Sabado;15:00;CARROSSEL;TOPO;5;Cultura e Diferencas;vai_morar_fora;Vai Morar Fora;Choque cultural: o que ninguem conta sobre morar na Espanha;Comenta seu pais favorito | Comenta VIAGEM;VIAGEM;#espanholreal #espanholparabrasileiros #aprenderespanhol #brasileirosnaargentina #brasileironoexterior #imigracao #curiosidades #diferencas #culturaespanhola
2026-03-21;Sabado;18:30;REEL;TOPO;3;Erros e Falsos Amigos;academico;Academico;TODAVIA em espanhol nao e todavia — e ainda/contudo!;Comenta se voce ja falou isso | Comenta FALSOS;FALSOS;#espanholcomvoce #aprenderespanhol #espanhol #celu #proficienciaemespanhol #estudarnoexterior #cuidado #erroscomuns #falsoscognatos
2026-03-21;Sabado;20:00;CARROSSEL;MEIO;9;Quebra de Crencas;profissional;Profissional;Espanhol basico NAO e suficiente para negocios;Comenta se voce acreditava nisso | Comenta METODO;METODO;#espanholcomvoce #aprendaespanhol #espanholreal #negociosinternacionais #espanholparatrabalho #espanholcorporativo #quebradecrencas #verdade #mentiradoespanhol
2026-03-22;Domingo;07:00;REEL;MEIO;9;Quebra de Crencas;viajante;Viajante;Portunhol NAO e espanhol — e por isso que voce trava;Comenta se voce acreditava nisso | Comenta METODO;METODO;#espanholparabrasileiros #espanholonline #espanholcomvoce #espanholbasico #mochilao #viajarsozinho #verdade #mentiradoespanhol #quebradecrencas
2026-03-22;Domingo;09:30;CARROSSEL;TOPO;2;Palavras do Cotidiano;vai_morar_fora;Vai Morar Fora;Como falar 'conta de luz' em espanhol;Comenta qual palavra voce queria saber | Comenta VIAGEM;VIAGEM;#espanholonline #espanholcomvoce #espanholparabrasileiros #brasileirosnaespanha #morarfora #vidanoexterior #espanholdodia #palavradodia #vocabulario
2026-03-22;Domingo;12:00;REEL;TOPO;1;Expressoes Idiomaticas;academico;Academico;Como falar 'colar na prova' em espanhol;Salva esse video / Manda pra quem precisa | Comenta ERROS;ERROS;#aprendaespanhol #aprenderespanhol #espanholreal #dele #espanholparaconcurso #estudarnoexterior #expressoes #comofalarem #espanholnativo
2026-03-22;Domingo;15:00;CARROSSEL;FUNDO;6;Metodo e Bastidor;profissional;Profissional;Como nosso metodo adapta o aprendizado para seu contexto;Comenta METODO para saber mais | Comenta METODO;METODO;#aprenderespanhol #espanholreal #espanholonline #negociosinternacionais #espanholcorporativo #carreirainternacional #metodo #imersaonativa #comoaprender
2026-03-22;Domingo;18:30;REEL;MEIO;8;Desejo e Transformacao;viajante;Viajante;Imagina chegar na viagem e conversar com naturalidade...;Comenta QUERO se esse e seu sonho | Comenta AULA;AULA;#espanholparabrasileiros #espanhol #espanholcomvoce #espanholparaviagem #mochilao #viagemparaaamericadosul #destrave #faleespanhol #transformacao
2026-03-22;Domingo;20:00;CARROSSEL;FUNDO;10;Prova Social;vai_morar_fora;Vai Morar Fora;Aluna conseguiu emprego na Espanha em 6 meses de curso;Comenta QUERO se voce quer o mesmo resultado | Comenta AULA;AULA;#espanholparabrasileiros #espanholcomvoce #espanhol #imigracao #brasileirosnaespanha #brasileironoexterior #alunoreal #depoimento #resultado
2026-03-23;Segunda;07:00;REEL;MEIO;9;Quebra de Crencas;academico;Academico;Estudar gramatica nao vai te fazer falar espanhol;Comenta se voce acreditava nisso | Comenta METODO;METODO;#espanholreal #espanhol #aprendaespanhol #espanholparaconcurso #estudarnoexterior #espanholparaenem #verdade #mentiradoespanhol #quebradecrencas
2026-03-23;Segunda;09:30;CARROSSEL;TOPO;2;Palavras do Cotidiano;profissional;Profissional;Como falar 'reuniao' em espanhol;Comenta qual palavra voce queria saber | Comenta ERROS;ERROS;#espanholparabrasileiros #espanholonline #espanhol #espanholprofissional #carreirainternacional #espanholparatrabalho #espanholdodia #vocabulario #palavradodia
2026-03-23;Segunda;12:00;REEL;MEIO;4;Perguntas de Seguidores;viajante;Viajante;Seguidor pergunta: como pronunciar o S em espanhol?;Manda sua duvida nos comentarios | Comenta PRONUNCIA;PRONUNCIA;#espanholcomvoce #espanholonline #espanholreal #espanholparaviagem #espanholbasico #mochilao #duvida #perguntadeseguidor #aleresponde
2026-03-23;Segunda;15:00;CARROSSEL;FUNDO;11;CTA Indireto;vai_morar_fora;Vai Morar Fora;Se voce vai se mudar e quer chegar preparado, eu te ajudo;Comenta AULA | Comenta AULA;AULA;#espanholparabrasileiros #aprenderespanhol #espanholonline #morarfora #vidanoexterior #brasileironoexterior #aulademonstrativa #comece #linknabioo
2026-03-23;Segunda;18:30;REEL;TOPO;1;Expressoes Idiomaticas;academico;Academico;Como falar 'ralar muito' em espanhol;Salva esse video / Manda pra quem precisa | Comenta ERROS;ERROS;#espanhol #espanholparabrasileiros #aprenderespanhol #espanholparaconcurso #espanholparaenem #celu #comofalarem #espanholnativo #expressoes
2026-03-23;Segunda;20:00;CARROSSEL;TOPO;3;Erros e Falsos Amigos;profissional;Profissional;NEGOCIO tem plural diferente em espanhol!;Comenta se voce ja falou isso | Comenta FALSOS;FALSOS;#aprendaespanhol #espanholparabrasileiros #aprenderespanhol #espanholparatrabalho #espanholprofissional #carreirainternacional #cuidado #falsoscognatos #erroscomuns
2026-03-24;Terca;07:00;REEL;MEIO;4;Perguntas de Seguidores;viajante;Viajante;Seguidor pergunta: qual diferenca entre buen e bueno?;Manda sua duvida nos comentarios | Comenta ERROS;ERROS;#espanhol #espanholreal #aprenderespanhol #espanholbasico #espanholnoexterior #espanholparaviagem #duvida #aleresponde #perguntadeseguidor
2026-03-24;Terca;09:30;CARROSSEL;TOPO;3;Erros e Falsos Amigos;vai_morar_fora;Vai Morar Fora;PISO em espanhol e apartamento, nao chao!;Comenta se voce ja falou isso | Comenta FALSOS;FALSOS;#espanholparabrasileiros #aprendaespanhol #aprenderespanhol #vidanoexterior #morarfora #brasileirosnaargentina #falsoscognatos #cuidado #erroscomuns
2026-03-24;Terca;12:00;REEL;MEIO;4;Perguntas de Seguidores;academico;Academico;Seguidor pergunta: quando usar subjuntivo?;Manda sua duvida nos comentarios | Comenta ERROS;ERROS;#espanholonline #espanhol #aprenderespanhol #espanholparaconcurso #dele #espanholparaenem #duvida #aleresponde #perguntadeseguidor
2026-03-24;Terca;15:00;CARROSSEL;TOPO;3;Erros e Falsos Amigos;profissional;Profissional;SALARIO vs SUELDO — qual usar no trabalho?;Comenta se voce ja falou isso | Comenta FALSOS;FALSOS;#espanholcomvoce #espanholonline #espanholreal #carreirainternacional #espanholparanegocio #negociosinternacionais #cuidado #falsoscognatos #erroscomuns
2026-03-24;Terca;18:30;REEL;FUNDO;11;CTA Indireto;viajante;Viajante;Se voce quer destravar seu espanhol antes da viagem, eu te mostro como;Comenta AULA | Comenta AULA;AULA;#espanholreal #espanhol #aprenderespanhol #espanholbasico #viagemparaaamericadosul #viajarsozinho #aulademonstrativa #comece #linknabioo
2026-03-24;Terca;20:00;CARROSSEL;MEIO;7;Dor e Identificacao;vai_morar_fora;Vai Morar Fora;Voce mora fora mas ainda depende de outros pra resolver coisas?;Comenta SIM se voce se identifica | Comenta TRAVA;TRAVA;#espanholcomvoce #aprenderespanhol #espanholonline #imigracao #morarfora #brasileirosnaespanha #travanoespanhol #voceseidentifica #identificacao
2026-03-25;Quarta;07:00;REEL;TOPO;2;Palavras do Cotidiano;academico;Academico;Como falar 'bolsa de estudos' em espanhol;Comenta qual palavra voce queria saber | Comenta ERROS;ERROS;#espanholonline #espanholcomvoce #aprenderespanhol #espanholparaconcurso #estudarnoexterior #celu #vocabulario #espanholdodia #palavradodia
2026-03-25;Quarta;09:30;CARROSSEL;MEIO;4;Perguntas de Seguidores;profissional;Profissional;Seguidor pergunta: como dar feedback em espanhol?;Manda sua duvida nos comentarios | Comenta ERROS;ERROS;#espanholreal #aprenderespanhol #espanholparabrasileiros #negociosinternacionais #carreirainternacional #espanholparanegocio #aleresponde #perguntadeseguidor #duvida
2026-03-25;Quarta;12:00;REEL;TOPO;5;Cultura e Diferencas;viajante;Viajante;Por que na Espanha jantam as 22h?;Comenta seu pais favorito | Comenta VIAGEM;VIAGEM;#espanholparabrasileiros #aprendaespanhol #espanholonline #mochilao #viajarsozinho #espanholparaviagem #culturaespanhola #diferencas #curiosidades
2026-03-25;Quarta;15:00;CARROSSEL;FUNDO;6;Metodo e Bastidor;vai_morar_fora;Vai Morar Fora;Como nosso metodo prepara voce para o dia a dia real;Comenta METODO para saber mais | Comenta METODO;METODO;#espanholparabrasileiros #espanholreal #espanholcomvoce #morarfora #imigracao #brasileironoexterior #metodo #comoaprender #imersaonativa
2026-03-25;Quarta;18:30;REEL;TOPO;1;Expressoes Idiomaticas;academico;Academico;Como falar 'ficar por fora' em espanhol;Salva esse video / Manda pra quem precisa | Comenta ERROS;ERROS;#espanholcomvoce #aprenderespanhol #aprendaespanhol #estudarnoexterior #proficienciaemespanhol #espanholparaenem #espanholnativo #expressoes #comofalarem
2026-03-25;Quarta;20:00;CARROSSEL;FUNDO;6;Metodo e Bastidor;profissional;Profissional;Nucleo del Conocimiento: o vocabulario certo para sua area;Comenta METODO para saber mais | Comenta METODO;METODO;#espanhol #aprendaespanhol #espanholreal #espanholparanegocio #negociosinternacionais #espanholcorporativo #imersaonativa #comoaprender #metodo
2026-03-26;Quinta;07:00;REEL;FUNDO;10;Prova Social;viajante;Viajante;Ela travava... hoje conversa com nativos na viagem;Comenta QUERO se voce quer o mesmo resultado | Comenta AULA;AULA;#espanholonline #espanhol #espanholparabrasileiros #viajarsozinho #viagemparaaamericadosul #mochilao #resultado #alunoreal #depoimento
2026-03-26;Quinta;09:30;CARROSSEL;MEIO;7;Dor e Identificacao;vai_morar_fora;Vai Morar Fora;Voce se sente menos capaz so por causa do idioma?;Comenta SIM se voce se identifica | Comenta TRAVA;TRAVA;#espanholcomvoce #espanhol #espanholonline #brasileirosnaargentina #imigracao #morarfora #identificacao #voceseidentifica #travanoespanhol
