post_id;data;dia_semana;horario;formato;funil;tipo_conteudo;avatar;tema;keyword_manychat;hook_ou_capa;total_slides_ou_duracao;legenda_preview
2026-03-20_0700;2026-03-20;Sexta;07:00;REEL;MEIO;Perguntas de Seguidores;Viajante;Seguidor pergunta: como falar 'namorar' em espanhol?;ERROS;Essa e a duvida mais comum que eu recebo.;30-60 segundos;Voces pediram, eu respondi 👇  Seguidor pergunta: como falar 'namorar' em espanhol?  Recebi essa perg...
2026-03-20_0930;2026-03-20;Sexta;09:30;CARROSSEL;MEIO;Dor e Identificacao;Vai Morar Fora;Voce vai se mudar e tem medo de nao se adaptar?;TRAVA;VOCE VAI SE MUDAR E TEM MEDO DE NAO SE ADAPTAR?;6 slides;Se voce se identifica... esse post e pra voce. 👇  Voce vai se mudar e tem medo de nao se adaptar?  E...
2026-03-20_1200;2026-03-20;Sexta;12:00;REEL;FUNDO;Prova Social;Academico;Aluna passou no DELE B2 com 3 meses de Imersao Nativa;AULA;Essa historia me emociona toda vez que eu conto.;30-60 segundos;Olha o resultado que esse aluno teve 👇  Aluna passou no DELE B2 com 3 meses de Imersao Nativa  Essa ...
2026-03-20_1500;2026-03-20;Sexta;15:00;CARROSSEL;MEIO;Perguntas de Seguidores;Profissional;Seguidor pergunta: como comecar email formal em espanhol?;ERROS;COMO COMECAR EMAIL FORMAL EM ESPANHOL?;6 slides;Voces pediram, eu respondi 👇  Seguidor pergunta: como comecar email formal em espanhol?  Recebi essa...
2026-03-20_1830;2026-03-20;Sexta;18:30;REEL;FUNDO;Metodo e Bastidor;Viajante;Por que voce trava ao falar espanhol — a explicacao cientifica;METODO;Eu vou te explicar o que acontece no seu cerebro quando voce tenta falar.;30-60 segundos;Voce sabe POR QUE voce trava? A ciencia explica 👇  Por que voce trava ao falar espanhol — a explicac...
2026-03-20_2000;2026-03-20;Sexta;20:00;CARROSSEL;TOPO;Palavras do Cotidiano;Vai Morar Fora;Como falar 'aluguel' em espanhol;VIAGEM;COMO FALAR ALUGUEL EM ESPANHOL?;7 slides;Essa palavra simples vai te surpreender 👇  Como falar 'aluguel' em espanhol  Nos, nativos, falamos i...
2026-03-21_0700;2026-03-21;Sabado;07:00;REEL;MEIO;Perguntas de Seguidores;Academico;Seguidor pergunta: SER vs ESTAR — regra definitiva?;ERROS;Um seguidor me mandou essa pergunta e a resposta vai te surpreender.;30-60 segundos;Voces pediram, eu respondi 👇  Seguidor pergunta: SER vs ESTAR — regra definitiva?  Recebi essa pergu...
2026-03-21_0930;2026-03-21;Sabado;09:30;CARROSSEL;FUNDO;Metodo e Bastidor;Profissional;Por que metodo generico nao resolve espanhol corporativo;METODO;POR QUE METODO GENERICO NAO RESOLVE ESPANHOL CORPORATIVO;7 slides;Voce sabe POR QUE voce trava? A ciencia explica 👇  Por que metodo generico nao resolve espanhol corp...
2026-03-21_1200;2026-03-21;Sabado;12:00;REEL;TOPO;Cultura e Diferencas;Viajante;Argentina vs Espanha: como cada um fala 'voce';VIAGEM;A diferenca cultural que ninguem te contou.;30-60 segundos;Sabia que isso muda de pais pra pais? 🌎  Argentina vs Espanha: como cada um fala 'voce'  O mundo his...
2026-03-21_1500;2026-03-21;Sabado;15:00;CARROSSEL;TOPO;Cultura e Diferencas;Vai Morar Fora;Choque cultural: o que ninguem conta sobre morar na Espanha;VIAGEM;CHOQUE CULTURAL: O QUE NINGUEM CONTA SOBRE MORAR NA ESPANHA;7 slides;Sabia que isso muda de pais pra pais? 🌎  Choque cultural: o que ninguem conta sobre morar na Espanha...
